id,name,longName,displayName,displayCode,x,y,LaneType,LaneName,LaneShort
153,백운,백운역 1호선,백운역,153,126.7069848,37.4831587,1,1호선,1호선
154,동암,동암역 1호선,동암역,154,126.702898,37.4708816,1,1호선,1호선
155,간석,간석역 1호선,간석역,155,126.6934234,37.4647023,1,1호선,1호선
156,주안,주안역 1호선,주안역,156,126.6797087,37.4650741,1,1호선,1호선
157,도화,도화역 1호선,도화역,157,126.6686415,37.4661284,1,1호선,1호선
158,제물포,제물포역 1호선,제물포역,158,126.657523,37.4668232,1,1호선,1호선
159,도원,도원역 1호선,도원역,159,126.6426106,37.4687095,1,1호선,1호선
160,동인천,동인천역 1호선,동인천역,160,126.6326162,37.475431,1,1호선,1호선
161,인천,인천역 1호선,인천역,161,126.6169577,37.4763766,1,1호선,1호선
172,가산디지털단지,가산디지털단지역 1호선,가산디지털단지역,P142,126.882559,37.4816348,1,1호선,1호선
173,독산,독산역 1호선,독산역,P143,126.8893964,37.4661067,1,1호선,1호선
174,금천구청,금천구청역 1호선,금천구청역,P144,126.8940088,37.4556516,1,1호선,1호선
175,석수,석수역 1호선,석수역,P145,126.9022515,37.4351714,1,1호선,1호선
176,관악,관악역 1호선,관악역,P146,126.9084945,37.4195895,1,1호선,1호선
177,안양,안양역 1호선,안양역,P147,126.9226534,37.4019344,1,1호선,1호선
178,명학,명학역 1호선,명학역,P148,126.9355901,37.3844429,1,1호선,1호선
179,금정,금정역 1호선,금정역,P149,126.9432978,37.3723648,1,1호선,1호선
180,군포,군포역 1호선,군포역,P150,126.9485391,37.3540063,1,1호선,1호선
181,의왕,의왕역 1호선,의왕역,P152,126.9481135,37.32041,1,1호선,1호선
182,성균관대,성균관대역 1호선,성균관대역,P153,126.9711633,37.3003158,1,1호선,1호선
183,화서,화서역 1호선,화서역,P154,126.9895864,37.2839988,1,1호선,1호선
184,수원,수원역 1호선,수원역,P155,127.0000339,37.2662505,1,1호선,1호선
185,세류,세류역 1호선,세류역,P156,127.0137092,37.2441818,1,1호선,1호선
186,병점,병점역 1호선,병점역,P157,127.0332632,37.206849,1,1호선,1호선
187,세마,세마역 1호선,세마역,P158,127.0432867,37.1872948,1,1호선,1호선
188,오산대,오산대역 1호선,오산대역,P159,127.0631028,37.169296,1,1호선,1호선
189,오산,오산역 1호선,오산역,P160,127.0667065,37.1453975,1,1호선,1호선
